stage,epoch,step,loss,learning_rate,timestamp
pretrain,1,1,8.76892376,0.000939711431703,2026-04-27T13:14:50
pretrain,1,2,8.77449799,0.000775,2026-04-27T13:14:50
pretrain,1,3,8.76280689,0.00055,2026-04-27T13:14:50
pretrain,1,4,8.68851185,0.000325,2026-04-27T13:14:50
pretrain,1,5,8.71321678,0.000160288568297,2026-04-27T13:14:50
pretrain,1,6,8.68445015,0.0001,2026-04-27T13:14:50
sft,1,1,8.69146633,0.000434099025767,2026-04-27T13:15:01
sft,1,2,8.66338634,0.000275,2026-04-27T13:15:01
sft,1,3,8.66348553,0.000115900974233,2026-04-27T13:15:01
sft,1,4,8.64554214,5e-05,2026-04-27T13:15:01
lora,1,5,8.75613976,0.000482872894815,2026-04-27T14:10:32
lora,1,10,8.74483013,0.000434099025767,2026-04-27T14:10:32
lora,1,15,8.73118782,0.000361103772282,2026-04-27T14:10:32
lora,1,20,8.74448490,0.000275,2026-04-27T14:10:32
lora,1,25,8.72177219,0.000188896227718,2026-04-27T14:10:32
lora,1,30,8.72357273,0.000115900974233,2026-04-27T14:10:32
lora,1,35,8.69658279,6.7127105185e-05,2026-04-27T14:10:33
lora,1,40,8.68127441,5e-05,2026-04-27T14:10:33
